                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.85199,                 2.2324,                 1.1174,                0.59722,                0.65958,                0.62656,                0.49238,                0.66005,                 1.4953,                 1.0001,               0.070154,              0.0033162,              0.0033162
                      1,                0.80602,                 1.3268,                 1.0869,                0.65927,                0.63436,                0.69731,                0.52883,                0.78252,                 1.3485,                 1.1026,               0.040088,              0.0065837,              0.0065837
                      2,                0.91129,                 1.3025,                 1.1437,                0.57593,                0.50648,                0.52623,                0.37051,                 1.0346,                 1.6559,                 1.3298,              0.0099562,              0.0097852,              0.0097852
                      3,                 0.8928,                 1.1689,                 1.1388,                0.76853,                0.70037,                0.79517,                0.61364,                0.75993,                 1.0387,                 1.0939,               0.009703,               0.009703,               0.009703
                      4,                 0.8536,                 1.0814,                 1.1169,                0.75499,                0.71138,                0.79859,                0.63607,                0.66433,                 1.0558,                  1.034,               0.009703,               0.009703,               0.009703
                      5,                0.82146,                 1.0016,                  1.098,                0.69417,                0.61999,                0.67911,                0.51167,                0.88605,                 1.3354,                 1.2383,               0.009604,               0.009604,               0.009604
                      6,                0.80004,                0.96488,                 1.0936,                0.80064,                0.75604,                0.83026,                0.67511,                0.64696,                0.90815,                 1.0255,               0.009505,               0.009505,               0.009505
                      7,                0.78436,                0.92805,                 1.0843,                0.84307,                0.77448,                0.86436,                0.70105,                0.63055,                0.79221,                 1.0187,               0.009406,               0.009406,               0.009406
                      8,                0.76623,                0.90399,                 1.0758,                 0.8279,                0.78749,                0.87011,                0.72018,                0.59186,                0.75722,                0.98989,               0.009307,               0.009307,               0.009307
                      9,                0.75036,                0.87794,                 1.0698,                0.85321,                0.80934,                0.89287,                0.74906,                0.56318,                0.67288,                0.97716,               0.009208,               0.009208,               0.009208
                     10,                0.73856,                0.85368,                 1.0678,                0.82527,                0.78811,                0.86754,                0.72726,                0.56653,                0.76656,                0.97221,               0.009109,               0.009109,               0.009109
                     11,                0.72948,                0.83952,                 1.0601,                0.85266,                0.82854,                0.90092,                 0.7695,                0.53022,                0.64207,                0.95521,                0.00901,                0.00901,                0.00901
                     12,                0.71337,                0.81046,                 1.0471,                0.86147,                 0.8157,                0.89653,                0.76217,                 0.5495,                0.64658,                0.96395,               0.008911,               0.008911,               0.008911
                     13,                0.70493,                 0.7888,                 1.0443,                0.86929,                0.82944,                0.90855,                 0.7804,                0.51418,                0.59066,                0.94573,               0.008812,               0.008812,               0.008812
                     14,                0.70088,                0.79255,                 1.0446,                0.87184,                0.83409,                0.91305,                0.78454,                0.51339,                0.59657,                0.94649,               0.008713,               0.008713,               0.008713
                     15,                0.69113,                0.77984,                 1.0419,                0.86858,                0.82802,                0.90582,                0.78023,                0.50962,                0.62702,                0.95043,               0.008614,               0.008614,               0.008614
                     16,                0.68697,                0.76549,                 1.0359,                0.85144,                 0.8103,                0.89076,                0.75845,                0.53027,                0.66327,                0.95792,               0.008515,               0.008515,               0.008515
                     17,                0.67892,                 0.7505,                 1.0305,                0.86872,                0.80329,                0.89205,                0.76523,                0.53022,                0.66119,                0.97424,               0.008416,               0.008416,               0.008416
                     18,                0.67324,                0.74295,                  1.028,                  0.869,                0.83122,                 0.9126,                0.79487,                0.48662,                0.57784,                0.93497,               0.008317,               0.008317,               0.008317
                     19,                 0.6671,                0.73596,                 1.0291,                 0.8757,                 0.8347,                0.91583,                0.79766,                0.49018,                0.57733,                0.93941,               0.008218,               0.008218,               0.008218
                     20,                0.66384,                0.72636,                 1.0271,                0.87165,                0.84043,                0.91497,                 0.7962,                0.48339,                0.57485,                0.92996,               0.008119,               0.008119,               0.008119
                     21,                0.65592,                0.71226,                 1.0191,                0.88961,                0.85106,                0.92768,                0.81475,                0.46913,                 0.5367,                0.92373,                0.00802,                0.00802,                0.00802
                     22,                0.64933,                0.70089,                  1.019,                0.88386,                0.84846,                0.92251,                0.80933,                0.46508,                0.54759,                0.92059,               0.007921,               0.007921,               0.007921
                     23,                  0.647,                0.69794,                 1.0179,                0.87542,                0.83084,                0.91424,                0.79331,                 0.4946,                0.57924,                0.93401,               0.007822,               0.007822,               0.007822
                     24,                0.63947,                0.68955,                 1.0139,                 0.8834,                0.85511,                0.92596,                0.81391,                0.46412,                0.54087,                0.91848,               0.007723,               0.007723,               0.007723
                     25,                0.63759,                0.68717,                 1.0144,                0.87545,                0.85623,                0.92189,                0.81054,                0.46274,                0.54579,                 0.9194,               0.007624,               0.007624,               0.007624
                     26,                0.63148,                 0.6746,                   1.01,                0.87947,                0.85912,                0.92733,                 0.8201,                0.45326,                0.52046,                0.91354,               0.007525,               0.007525,               0.007525
                     27,                0.63103,                 0.6734,                 1.0075,                0.88709,                0.86551,                0.93241,                0.82648,                 0.4497,                0.50336,                0.91433,               0.007426,               0.007426,               0.007426
                     28,                 0.6249,                0.66499,                 1.0079,                 0.8813,                0.86012,                0.92535,                0.81988,                0.44608,                0.52521,                0.90991,               0.007327,               0.007327,               0.007327
                     29,                0.61877,                0.65734,                 1.0029,                0.89049,                  0.854,                 0.9301,                0.82309,                0.44381,                0.51624,                0.91014,               0.007228,               0.007228,               0.007228
                     30,                0.61649,                0.65461,                 1.0038,                0.89334,                0.86286,                0.93579,                0.83046,                0.43831,                0.49737,                0.90629,               0.007129,               0.007129,               0.007129
                     31,                0.61455,                0.64793,                 0.9999,                 0.8813,                0.84872,                0.92271,                 0.8168,                0.44364,                 0.5325,                0.91372,                0.00703,                0.00703,                0.00703
                     32,                0.61259,                0.64335,                 1.0002,                 0.8946,                0.86663,                0.93641,                0.83435,                0.43401,                0.49388,                0.90636,               0.006931,               0.006931,               0.006931
                     33,                0.60307,                0.63558,                0.99523,                0.90081,                 0.8637,                0.93686,                0.83757,                0.42653,                0.48338,                0.90525,               0.006832,               0.006832,               0.006832
                     34,                 0.6007,                0.63136,                 0.9949,                0.89483,                0.86064,                0.93465,                0.83388,                0.42866,                 0.4887,                0.90222,               0.006733,               0.006733,               0.006733
                     35,                0.59646,                0.63412,                0.99291,                0.89435,                0.86451,                0.93588,                0.83592,                0.42788,                0.48656,                0.90332,               0.006634,               0.006634,               0.006634
                     36,                0.59388,                0.61787,                0.98873,                0.89724,                 0.8619,                0.93575,                 0.8384,                0.42428,                0.48288,                0.90122,               0.006535,               0.006535,               0.006535
                     37,                0.59273,                0.61485,                0.98842,                0.89123,                0.87168,                0.93784,                0.84099,                0.42265,                 0.4768,                0.90031,               0.006436,               0.006436,               0.006436
                     38,                0.59474,                0.62081,                0.99199,                0.89507,                0.86567,                0.93533,                0.83796,                0.42551,                0.47949,                0.90245,               0.006337,               0.006337,               0.006337
                     39,                0.58909,                 0.6133,                0.99167,                0.88905,                0.87612,                 0.9366,                0.84234,                0.41706,                 0.4749,                0.89661,               0.006238,               0.006238,               0.006238
                     40,                0.58429,                0.60776,                 0.9869,                0.89243,                 0.8717,                0.93801,                0.84335,                0.41675,                0.47783,                0.89469,               0.006139,               0.006139,               0.006139
                     41,                0.58122,                0.60146,                0.98767,                0.90171,                0.86487,                0.93899,                0.84375,                0.41651,                0.46836,                0.89689,                0.00604,                0.00604,                0.00604
                     42,                0.57766,                0.60477,                0.98657,                0.89345,                0.86676,                 0.9376,                0.84231,                0.41966,                0.47137,                0.89963,               0.005941,               0.005941,               0.005941
                     43,                0.57743,                0.60173,                 0.9859,                0.89136,                0.88266,                 0.9425,                0.85099,                 0.4053,                0.45366,                0.89062,               0.005842,               0.005842,               0.005842
                     44,                0.57456,                0.59721,                0.98214,                0.89572,                 0.8706,                 0.9394,                0.84835,                0.40673,                0.45862,                0.89406,               0.005743,               0.005743,               0.005743
                     45,                0.56913,                0.58657,                0.98024,                0.89177,                 0.8784,                0.93976,                0.84888,                0.40099,                0.46202,                0.89125,               0.005644,               0.005644,               0.005644
                     46,                0.56924,                0.58563,                0.98118,                0.89807,                0.87222,                0.93994,                0.84869,                0.40488,                0.46052,                 0.8941,               0.005545,               0.005545,               0.005545
                     47,                0.56791,                0.58064,                0.97727,                0.90183,                0.87114,                0.94228,                0.85239,                0.40127,                0.45449,                0.88896,               0.005446,               0.005446,               0.005446
                     48,                0.55943,                0.57441,                0.97549,                0.89587,                0.87426,                0.94034,                0.85121,                0.40019,                0.45378,                 0.8895,               0.005347,               0.005347,               0.005347
                     49,                0.56519,                0.57307,                0.97696,                0.89653,                0.87581,                 0.9425,                0.85289,                0.39792,                0.44885,                0.88932,               0.005248,               0.005248,               0.005248
                     50,                0.56013,                0.56592,                0.97261,                0.90117,                0.87019,                0.94093,                 0.8531,                0.39515,                0.45138,                0.88735,               0.005149,               0.005149,               0.005149
                     51,                  0.555,                0.56515,                0.97416,                0.89349,                0.88187,                0.94366,                0.85677,                0.39378,                0.44146,                0.88826,                0.00505,                0.00505,                0.00505
                     52,                0.55479,                0.56915,                0.97484,                0.90258,                 0.8772,                0.94424,                0.85813,                0.38859,                0.43631,                0.88336,               0.004951,               0.004951,               0.004951
                     53,                0.55095,                 0.5566,                0.96967,                0.89451,                0.88338,                 0.9442,                0.85793,                0.39079,                0.43784,                 0.8884,               0.004852,               0.004852,               0.004852
                     54,                0.55093,                 0.5514,                0.97138,                0.90354,                0.87894,                  0.945,                0.86014,                 0.3851,                0.43341,                0.88358,               0.004753,               0.004753,               0.004753
                     55,                0.54409,                0.54792,                0.96891,                0.90282,                0.87697,                0.94298,                  0.859,                0.38922,                0.43646,                0.88663,               0.004654,               0.004654,               0.004654
                     56,                0.54449,                0.54705,                0.96837,                0.90626,                0.87493,                0.94437,                0.85998,                0.38513,                0.43284,                0.88334,               0.004555,               0.004555,               0.004555
                     57,                 0.5384,                0.54549,                 0.9659,                0.89921,                0.88309,                0.94471,                0.86059,                0.38565,                0.43303,                0.88546,               0.004456,               0.004456,               0.004456
                     58,                0.54419,                0.54452,                0.96585,                0.89712,                0.88497,                0.94465,                0.86265,                0.37956,                0.42968,                0.88049,               0.004357,               0.004357,               0.004357
                     59,                 0.5365,                0.53679,                0.96101,                0.89652,                0.88636,                 0.9462,                0.86402,                0.38206,                0.42606,                0.88096,               0.004258,               0.004258,               0.004258
                     60,                0.53895,                0.53832,                0.96398,                 0.9018,                0.88042,                0.94606,                 0.8654,                0.37644,                0.42427,                0.87744,               0.004159,               0.004159,               0.004159
                     61,                0.53648,                0.53774,                 0.9642,                0.89684,                 0.8878,                0.94608,                0.86423,                0.37835,                0.42773,                0.88171,                0.00406,                0.00406,                0.00406
                     62,                0.52441,                0.52334,                0.96088,                0.90478,                0.88322,                0.94675,                0.86498,                0.37884,                 0.4254,                0.88168,               0.003961,               0.003961,               0.003961
                     63,                0.52836,                0.52192,                0.95965,                0.90249,                0.88104,                 0.9461,                0.86546,                0.37528,                 0.4229,                0.87882,               0.003862,               0.003862,               0.003862
                     64,                0.52871,                0.52881,                0.96015,                0.90184,                0.88108,                0.94568,                0.86405,                0.37708,                0.42543,                0.88008,               0.003763,               0.003763,               0.003763
                     65,                0.52146,                0.51496,                0.95803,                0.90383,                0.88193,                0.94706,                 0.8674,                0.37127,                0.41937,                0.87911,               0.003664,               0.003664,               0.003664
                     66,                0.51596,                0.51109,                 0.9566,                0.90298,                0.88227,                0.94656,                0.86687,                0.37296,                0.41855,                 0.8814,               0.003565,               0.003565,               0.003565
                     67,                 0.5147,                0.50439,                 0.9524,                0.90649,                0.88145,                 0.9469,                0.86817,                0.37112,                0.41964,                 0.8773,               0.003466,               0.003466,               0.003466
                     68,                0.51714,                0.51088,                0.95331,                0.89897,                0.88827,                0.94673,                0.86844,                0.36867,                0.41666,                0.87414,               0.003367,               0.003367,               0.003367
                     69,                 0.5122,                0.50417,                0.95425,                0.90063,                0.88671,                0.94706,                0.86819,                0.36921,                0.41771,                0.87486,               0.003268,               0.003268,               0.003268
                     70,                0.51649,                0.50278,                0.95486,                 0.9028,                0.88581,                0.94679,                0.86863,                0.36827,                0.41708,                0.87573,               0.003169,               0.003169,               0.003169
                     71,                0.50832,                0.49898,                 0.9509,                0.90261,                0.88421,                0.94796,                0.86962,                0.36883,                0.41447,                0.87788,                0.00307,                0.00307,                0.00307
                     72,                0.50746,                0.49419,                0.94892,                0.90695,                0.88156,                0.94727,                0.86915,                0.36793,                 0.4158,                0.87576,               0.002971,               0.002971,               0.002971
                     73,                0.50246,                0.49449,                0.94857,                0.90351,                0.88588,                0.94766,                0.87111,                0.36414,                0.41342,                 0.8749,               0.002872,               0.002872,               0.002872
                     74,                0.50468,                0.49081,                0.94878,                 0.9029,                0.88589,                0.94754,                0.87051,                0.36431,                0.41351,                0.87445,               0.002773,               0.002773,               0.002773
                     75,                0.49675,                0.48489,                0.94612,                0.90022,                 0.8866,                0.94647,                0.86915,                0.36476,                0.41791,                0.87481,               0.002674,               0.002674,               0.002674
                     76,                0.50222,                0.48565,                0.94723,                0.90659,                0.88194,                0.94587,                0.86993,                0.36226,                0.41584,                0.87482,               0.002575,               0.002575,               0.002575
                     77,                0.50208,                0.48477,                0.94863,                0.90347,                0.88184,                0.94605,                0.86934,                0.36358,                0.41666,                0.87469,               0.002476,               0.002476,               0.002476
                     78,                0.49031,                0.47533,                0.94482,                0.90351,                0.88373,                0.94662,                 0.8707,                0.36152,                0.41169,                0.87498,               0.002377,               0.002377,               0.002377
                     79,                0.49044,                0.47344,                 0.9442,                 0.9045,                0.88224,                0.94714,                0.87245,                0.36063,                0.41124,                0.87539,               0.002278,               0.002278,               0.002278
                     80,                0.49462,                0.48264,                0.94411,                0.89708,                0.89254,                0.94738,                0.87221,                0.36003,                0.40999,                  0.875,               0.002179,               0.002179,               0.002179
                     81,                0.48774,                0.47177,                0.94348,                 0.9039,                0.88766,                0.94782,                0.87178,                0.36207,                0.41164,                0.87602,                0.00208,                0.00208,                0.00208
                     82,                0.48732,                0.47144,                0.94247,                0.90173,                0.88969,                0.94779,                0.87203,                 0.3624,                0.40887,                0.87606,               0.001981,               0.001981,               0.001981
                     83,                0.48388,                0.46871,                0.94217,                0.90413,                0.88922,                0.94756,                0.87281,                0.36035,                0.40686,                0.87515,               0.001882,               0.001882,               0.001882
                     84,                0.47662,                0.46051,                0.93607,                0.90181,                0.89002,                0.94714,                0.87265,                0.35993,                0.40837,                0.87556,               0.001783,               0.001783,               0.001783
                     85,                0.47377,                0.45606,                0.93639,                0.90242,                0.88928,                0.94745,                 0.8733,                0.35975,                0.40891,                 0.8754,               0.001684,               0.001684,               0.001684
                     86,                0.47788,                0.45336,                0.93527,                0.90093,                0.89038,                0.94687,                0.87327,                0.35935,                0.40926,                0.87471,               0.001585,               0.001585,               0.001585
                     87,                 0.4681,                0.45354,                0.93578,                0.90037,                0.89177,                0.94694,                0.87353,                0.35862,                0.40943,                0.87466,               0.001486,               0.001486,               0.001486
                     88,                0.47387,                0.45208,                0.93557,                0.89768,                0.89295,                0.94682,                0.87359,                0.35764,                0.40714,                0.87425,               0.001387,               0.001387,               0.001387
                     89,                0.47382,                0.45574,                0.93745,                0.90093,                0.89071,                0.94705,                0.87439,                0.35645,                0.40708,                0.87327,               0.001288,               0.001288,               0.001288
                     90,                 0.4695,                0.44335,                0.93135,                0.90147,                0.88878,                0.94698,                0.87454,                 0.3556,                0.40658,                0.87393,               0.001189,               0.001189,               0.001189
                     91,                0.46751,                0.44408,                0.93239,                0.90164,                 0.8889,                0.94721,                0.87401,                0.35486,                0.40628,                0.87322,                0.00109,                0.00109,                0.00109
                     92,                0.46225,                0.43537,                  0.931,                0.90106,                0.88877,                0.94676,                0.87408,                0.35577,                0.40631,                 0.8748,               0.000991,               0.000991,               0.000991
                     93,                0.46279,                0.43885,                0.93073,                0.90068,                0.88922,                0.94681,                 0.8742,                0.35562,                0.40592,                0.87519,               0.000892,               0.000892,               0.000892
                     94,                0.45968,                0.43567,                0.93147,                0.90044,                0.88971,                0.94673,                0.87416,                0.35581,                0.40603,                0.87502,               0.000793,               0.000793,               0.000793
                     95,                0.45913,                0.43141,                0.92964,                0.90255,                0.88575,                0.94645,                0.87376,                0.35589,                0.40758,                0.87506,               0.000694,               0.000694,               0.000694
                     96,                0.45878,                0.43219,                0.93056,                0.90456,                0.88519,                0.94672,                0.87421,                0.35579,                0.40699,                0.87473,               0.000595,               0.000595,               0.000595
                     97,                0.45282,                0.42366,                0.92773,                0.90189,                0.88761,                 0.9469,                0.87458,                0.35461,                0.40589,                0.87354,               0.000496,               0.000496,               0.000496
                     98,                0.44671,                0.42152,                0.92607,                0.90362,                0.88657,                0.94698,                0.87514,                0.35413,                0.40627,                0.87363,               0.000397,               0.000397,               0.000397
                     99,                0.44913,                0.41969,                0.92477,                0.90687,                0.88288,                0.94705,                0.87541,                0.35377,                0.40633,                0.87338,               0.000298,               0.000298,               0.000298
